English,Portuguese
Listen.,Escutem.
Listen.,Escutai.
No way!,De jeito nenhum!
No way!,Impossível!
No way!,De maneira alguma!
No way!,De modo algum!
No way!,Sem chance!
Really?,Sério?
Really?,É mesmo?
Really?,Mesmo?
Really?,É sério?
Thanks.,Obrigado!
Thanks.,Obrigada!
Thanks.,Obrigado.
Thanks.,Obrigada.
Try it.,Tenta-o.
Try it.,Prove-o.
Try it.,Prove-a.
We hid.,Nós escondemos.
We hid.,Nós nos escondemos.
We ran.,Nós corremos.
We ran.,Corremos.
We try.,Tentamos.
We try.,Nós tentamos.
We won.,Vencemos.
We won.,Nós vencemos.
Why me?,Por que eu?
Ask Tom.,Pergunte a Tom.
Ask Tom.,Peça a Tom.
Ask Tom.,Pergunta para o Tom.
Ask Tom.,Peça para o Tom.
Ask Tom.,Peça ao Tom.
Ask Tom.,Perguntem ao Tom.
Be calm.,Fique calmo.
Be calm.,Tenha calma.
Be cool.,Seja legal.
Be fair.,Sede justos!
Be fair.,Sede justas!
Be fair.,Sejam justos!
Be fair.,Sejam justas!
Be fair.,Seja justo!
Be fair.,Seja justa!
Be fair.,Sê justo!
Be fair.,Sê justa!
Be good.,Seja bom.
Be good.,Seja boa.
Be good.,Sejam bons.
Be good.,Sejam boas.
Be good.,Sê bom.
Be good.,Sê boa.
Be good.,Sede bons.
Be good.,Sede boas.
Be kind.,Seja gentil.
Be kind.,Sejam gentis.
Be kind.,Sede gentis.
Be kind.,Sê gentil.
Be nice.,Seja legal.
Be nice.,Sejam legais.
Beat it.,Se manda!
Beat it.,Vaza!
Call me.,Me liga.
Call us.,Ligue para a gente.
Come in.,Entre.
Come in.,Entre!
Come in.,Entrem!
Come in.,Entra.
Come on!,Vamos!
Come on!,Venha!
Come on!,Qual é!
Come on.,Vamos!
Drop it!,Solte-o!
Drop it!,Largue isso.
Get Tom.,Pegue Tom.
Get out!,Saia!
Get out!,Saia daqui!
Get out!,Fora!
Get out!,Sai.
Get out!,Saiam!
Get out.,Saia.
Get out.,Sai.
Go away!,Afaste-se!
Go away.,Cai fora!
Go away.,Vá embora!
Go away.,Fora!
Go away.,Se manda!
Go away.,Vá embora.
Go away.,Afaste-se!
Go away.,Cai fora daqui!
Go home.,Vão para casa.
Go home.,Vá para casa.
Goodbye!,Tchau!
Goodbye!,Até mais!
Goodbye!,Até a vista!
Goodbye!,Até logo!
Goodbye!,Até mais ver!
Goodbye!,Até o rever!
Hang on!,Aguarde.
Hang on!,Aguardem.
Hang on.,Aguarde.
Hang on.,Aguardem.
He came.,Ele veio.
He runs.,Ele corre.
Help me!,Me ajuda!
Help me!,Ajude-me!
Help me!,Ajudem-me!
Help me.,Me ajude.
Help me.,Ajude-me.
Help me.,Ajuda-me.
Help me.,Ajudem-me.
Help me.,Me ajuda!
Help me.,Ajude-me!
Help me.,Ajudem-me!
Help us.,Ajudem-nos.
Help us.,Nos ajude.
Help us.,Ajude a gente.
Help us.,Ajude-nos.
Hi,
Hit Tom.,Acerta o Tom.
Hold it!,Segure isso!
Hold it!,Segura isso!
Hold on.,Espere.
Hold on.,Espera.
Hug Tom.,Abrace o Tom.
Hug Tom.,Abracem o Tom.
I agree.,Eu concordo.
I agree.,Estou de acordo.
I agree.,Eu estou de acordo.
I cried.,Eu chorei.
I drove.,Eu dirigi.
I moved.,Mudei-me.
I smoke.,Eu fumo.
I snore.,Eu ronco.
I stink.,Eu cheiro mal.
I tried.,Eu tentei.
I tried.,Tentei.
I waved.,Eu acenei.
I'll go.,Eu vou.
I'll go.,Eu vou!
I'm fat.,Estou gordo.
I'm fat.,Sou gordo.
I'm fat.,Eu sou gorda.
I'm fat.,Eu estou gorda.
I'm fit.,Eu estou em forma.
I'm fit.,Estou em forma.
I'm hot.,Tenho calor.
I'm hot.,Estou com calor.
I'm mad.,Estou bravo.
I'm mad.,Estou louco.
I'm old.,Eu sou velho.
I'm old.,Eu sou velha.
I'm old.,Eu estou velho.
I'm old.,Eu estou velha.
I'm sad.,Estou triste.
I'm sad.,Eu sou triste.
I'm sad.,Eu estou triste.
I'm shy.,Eu sou tímido.
I'm wet.,Estou molhado.
I'm wet.,Estou molhada.
It's OK.,Está tudo bem.
It's OK.,Tudo bem.
It's OK.,Está bem.
It's OK.,Tá bom.
It's me!,Sou eu.
It's me.,Sou eu.
Join us.,Junte-se.
Join us.,Junte-se a nós!
Keep it.,Fique com ele.
Keep it.,Fica com ele.
Keep it.,Fiquem com ele.
Keep it.,Fique com ela.
Keep it.,Fica com ela.
Keep it.,Fiquem com ela.
Kiss me.,Me beija.
Kiss me.,Dê-me um beijo.
Kiss me.,Beije-me.
Kiss me.,Me beije.
Look up.,Olhe para cima!
Look up.,Olha pra cima!
Look up.,Olhe pra cima!
Look up.,Olha para cima!
Me,
Open up.,Abra.
Perfect!,Perfeito!
See you!,Nos vemos!
See you.,Até mais.
See you.,Até logo.
See you.,Nos vemos.
See you.,A gente se vê.
Show me.,Mostre-me.
Show me.,Me mostre.
Show me.,Me mostra.
Shut up!,Cale a boca!
Shut up!,Cala a boca!
Shut up!,Cala-te!
Shut up!,Cale-se!
Shut up!,Calem a boca!
Shut up!,Calem-se!
Stop it.,Pare com isso!
Stop it.,Pare.
Stop it.,Para com isso.
Take it.,Pegue-o!
Take it.,Peguem-no!
Take it.,Pegue-o.
Take it.,Pega-o.
Take it.,Peguem-no.
Take it.,Pegue-a.
Take it.,Pega-a.
Take it.,Peguem-na.
Tell me.,Diga-me.
Tell me.,Digam-me.
Tell me.,Diz-me.
Tom ate.,O Tom comeu.
Tom ate.,Tom comeu.
Tom hid.,Tom se escondeu.
Tom ran.,Tom correu.
Tom ran.,O Tom correu.
Tom won.,Tom ganhou.
Wait up.,Esperem.
Wait up.,Espere.
Wake up!,Acorda!
Wake up!,Acorde!
Wake up!,Acordem!
Wake up.,Acorde.
Wake up.,Acordem.
Wash up.,Lava-te.
Wash up.,Lave-se.
Wash up.,Lavem-se.
Wash up.,Lave as mãos.
Wash up.,Lave o rosto.
We care.,Nós nos importamos.
We know.,Nós sabemos.
We lost.,Perdemos.
We lost.,Nós perdemos.
Welcome.,Seja bem-vindo!
Welcome.,Bem-vindo!
Welcome.,Seja bem-vinda!
Welcome.,Bem-vinda!
Who ate?,Quem comeu?
Who ran?,Quem correu?
Who won?,Quem ganhou?
Why not?,Por que não?
You run.,Você corre.
You run.,Corra.
You won.,Você ganhou.
You won.,Você venceu.
You won.,Vocês venceram.
Am I fat?,Estou gordo?
Am I fat?,Estou gorda?
Ask them.,Pergunte para eles.
Ask them.,Pergunte para elas.
Back off!,Para trás!
Back off.,Recue.
Back off.,Recuem.
Back off.,Recua.
Be brave.,Seja corajoso.
Be brave.,Seja valente.
Be brief.,Seja breve.
Be quick.,Seja rápido.
Be quiet.,Fique quieta.
Be quiet.,Fique quieto.
Be still.,Acalme-se.
Beats me.,Não faço ideia.
Call Tom.,Ligue para o Tom.
Can I go?,Posso ir?
Cheer up!,Ânimo!
Cool off!,Acalme-se.
Cool off!,Acalme-se!
Cuff him.,Algeme-o.
Don't go.,Não vá.
Drive on.,Dirija!
Find Tom.,Encontre o Tom.
Find Tom.,Encontrem o Tom.
Fix this.,Conserta isto.
Get away!,Cai fora!
Get away!,Fora!
Get away!,Se manda!
Get down!,Abaixe-se.
Get down!,Desça!
Get down.,Escreva.
Get down.,Abaixe-se.
Get down.,Deitem-se.
Get lost!,Se manda!
Get lost!,Vai-te embora!
Get lost!,Vá-se embora!
Get lost.,Se manda!
Get real!,Acorda!
Get real!,Cai na real!
Get real.,Acorda!
Get real.,Cai na real!
Go ahead!,Vá em frente!
Go ahead!,Continue!
Go ahead.,Continua.
Go ahead.,Vá em frente!
Go ahead.,Continue!
Go ahead.,Continuem.
Good job!,Bom trabalho!
Grab Tom.,Pegue o Tom.
Grab him.,Agarre-o.
Grab him.,Agarrem-no.
Have fun.,Diverte-te!
Have fun.,Divirtam-se!
Have fun.,Divirta-se!
He spoke.,Ele falou.
He tries.,Ele tenta.
He's Tom.,Ele é o Tom.
He's Tom.,Ele é Tom.
He's wet.,Ele está molhado.
Help Tom.,Ajude o Tom.
Help Tom.,Ajuda o Tom.
Help Tom.,Ajudem o Tom.
Hi,
How cute!,Que bonitinho!
How cute!,Que fofinho!
How cute!,Que fofinha!
How cute!,Que bonitinha!
How deep?,Quão fundo?
How deep?,Qual a profundidade?
How deep?,Qual é a profundidade?
How nice!,Que legal!
How rude!,Que bruto!
How rude!,Que rude!
Hurry up.,Apresse-se.
Hurry up.,Depressa!
Hurry up.,Apressa-te!
Hurry up.,Se apressa!
I burped.,Eu arrotei.
I can go.,Eu posso ir.
I can go.,Eu consigo ir.
I danced.,Eu dancei.
I failed.,Eu fracassei.
I forgot.,Eu me esqueci.
I forgot.,Eu esqueci.
I forgot.,Esqueci.
I forgot.,Me esqueci.
I get it.,Eu entendo.
I got it.,Entendi.
I got it.,Eu entendi.
I got up.,Eu me levantei.
I got up.,Me levantei.
I helped.,Eu ajudei.
I jumped.,Eu pulei.
I looked.,Eu olhei.
I nodded.,Balancei a cabeça.
I nodded.,Eu balancei a cabeça.
I phoned.,Eu telefonei.
I prayed.,Eu orei.
I prayed.,Eu rezei.
I resign.,Eu me demito.
I rested.,Eu descansei.
I saw it.,Eu o vi.
I smiled.,Eu sorri.
I smiled.,Dei um sorriso.
I stayed.,Eu fiquei.
I talked.,Eu falei.
I waited.,Eu esperei.
I winked.,Eu pisquei.
I yawned.,Eu bocejei.
I'll pay.,Eu pagarei.
I'll try.,Tentarei.
I'll win.,Vou vencer.
I'm back.,Voltei.
I'm bald.,Sou careca.
I'm bald.,Eu sou careca.
I'm bald.,Estou careca.
I'm busy.,Estou ocupado.
I'm busy.,Estou ocupada.
I'm cold.,Estou com frio.
I'm cool.,Sou legal.
I'm deaf.,Sou surdo.
I'm done.,Já terminei.
I'm fair.,Eu sou justo.
I'm fast.,Sou rápido.
I'm fine.,Estou bem.
I'm fine.,Eu vou bem.
I'm fine.,Eu estou bem.
I'm free.,Eu sou livre.
I'm free.,Estou livre.
I'm full.,Estou cheio.
I'm full.,Estou cheia.
I'm glad.,Estou contente.
I'm good.,Eu vou bem.
I'm here.,Estou aqui.
I'm here.,Eu estou aqui.
I'm home.,Cheguei.
I'm hurt.,Estou machucado.
I'm hurt.,Estou ferido.
I'm lost.,Estou perdido.
I'm next.,Sou o próximo.
I'm next.,Sou a próxima.
I'm okay.,Estou bem.
I'm okay.,Eu estou bem.
I'm poor.,Sou pobre.
I'm rich.,Eu sou rico.
I'm rich.,Eu sou rica.
I'm safe.,Eu estou seguro.
I'm sick.,Estou doente.
I'm sick.,Estou doente!
I'm sick.,Estou enfermo.
I'm sick.,Estou enferma.
I'm sick.,Eu estou enfermo.
I'm sure.,Tenho certeza.
I'm tall.,Eu sou alto.
I'm thin.,Eu sou magro.
I'm thin.,Sou magro.
I'm tidy.,Estou arrumado.
I'm tidy.,Eu estou arrumado.
I'm ugly.,Sou feio.
I'm ugly.,Estou feio.
I'm ugly.,Sou feia.
I'm ugly.,Estou feia.
I'm well.,Estou bem.
I'm wise.,Eu sou sábio.
I've won.,Eu venci.
It helps.,Isso ajuda.
It hurts.,Isso machuca.
It works.,Funciona.
It's Tom.,É o Tom.
It's fun.,É divertido.
It's his.,É dele.
It's hot.,Está quente.
It's new.,Isso é novo.
It's new.,Isso está novo.
It's old.,É velho.
It's red.,É vermelho.
It's red.,Isso é vermelho.
It's red.,É vermelha.
It's sad.,É triste.
Keep out!,Não entre.
Keep out!,Afaste-se!
Keep out.,Não entre.
Keep out.,Afaste-se!
Kiss Tom.,Beije Tom.
Leave it.,Deixe para lá.
Leave me.,Me deixe.
Leave me.,Deixe-me.
Leave me.,Me deixa.
Leave us.,Deixe-nos.
Leave us.,Nos deixe.
Let's go!,Vamos!
Let's go.,Vamos!
Look out!,Preste atenção!
Look out!,Atenção!
Look out!,Cuidado!
Marry me.,Case comigo.
May I go?,Posso ir?
Save Tom.,Salve o Tom.
Save Tom.,Salve a Tom.
She came.,Ela veio.
She died.,Ela morreu.
She runs.,Ela corre.
Sit down!,Assente-se!
Sit down.,Sente-se.
Sit here.,Senta aqui.
Sit here.,Sente-se aqui.
Speak up!,Fale mais alto!
Speak up!,Falem mais alto!
Speak up!,Fala mais alto!
Stand by.,Aguarde.
Stand by.,Aguardem.
Stand up!,Levante-se!
Stand up!,De pé!
Stand up.,Levante-se.
Stand up.,Levantem-se.
Stop Tom.,Pare o Tom.
Stop Tom.,Parem o Tom.
Stop Tom.,Impeça o Tom.
Stop Tom.,Impeçam o Tom.
Stop Tom.,Interrompa o Tom.
Stop Tom.,Detenham Tom.
Take Tom.,Leve o Tom.
Take Tom.,Leva o Tom.
Tell Tom.,Conte ao Tom.
Tell Tom.,Contem ao Tom.
Tell Tom.,Conta para o Tom.
Terrific!,Fantástico!
Terrific!,Genial!
Terrific!,Excelente!
Terrific!,Magnífico!
They won.,Eles ganharam.
They won.,Elas ganharam.
They won.,Elas venceram.
They won.,Eles venceram.
Tom came.,Tom veio.
Tom died.,Tom morreu.
Tom died.,O Tom morreu.
Tom fell.,Tom caiu.
Tom knew.,Tom sabia.
Tom lied.,Tom mentiu.
Tom lies.,Tom mente.
Tom lost.,O Tom perdeu.
Tom paid.,O Tom pagou.
Tom quit.,Tom desistiu.
Tom swam.,O Tom nadou.
Tom swam.,Tom nadou.
Too late.,Tarde demais.
Trust me.,Confie em mim.
Try hard.,Esforce-se.
Try hard.,Se esforça.
Try some.,Experimenta.
Try some.,Experimente.
Try some.,Experimentem.
Try this.,Experimenta isto.
Try this.,Experimente isto.
Try this.,Experimentem isto.
Use this.,Use isso.
Warn Tom.,Avise ao Tom.
Warn Tom.,Avisem ao Tom.
Warn Tom.,Alerte o Tom.
Warn Tom.,Fale para o Tom.
Watch me.,Observe-me.
We agree.,Concordamos.
We agree.,Nós concordamos.
We stood.,Nós ficamos.
We stood.,Ficamos.
We tried.,Nós tentamos.
We'll go.,Nós iremos.
We're #1.,Nós somos o número 1.
We're #1.,Somos o número 1.
We're OK.,Estamos bem.
What for?,Para quê?
What fun!,Que divertido!
Who am I?,Quem sou eu?
Who came?,Quem veio?
Who died?,Quem morreu?
Who fell?,Quem caiu?
Who quit?,Quem desistiu?
Who swam?,Quem nadou?
Write me.,Escreva-me.
After you.,Você primeiro.
Aim. Fire!,Preparar
Am I late?,Estou atrasado?
Answer me.,Responda-me.
Answer me.,Respondam-me.
Answer me.,Responda-me!
Answer me.,Respondam-me!
Answer me.,Me responde!
Answer me.,Me responda!
Be honest.,Seja sincera.
Be seated.,Sentai-vos.
Birds fly.,Pássaros voam.
Birds fly.,Os pássaros voam.
Bless you.,Saúde.
Call home!,Ligue para casa!
Calm down!,Acalme-se.
Calm down!,Acalme-se!
Calm down.,Acalme-se.
Calm down.,Acalma-te.
Calm down.,Acalmem-se.
Calm down.,Te acalma.
Calm down.,Aquieta o facho.
Can I eat?,Posso comer?
Can we go?,Podemos ir?
Catch Tom.,Pegue o Tom.
Catch Tom.,Peguem o Tom.
Catch him.,Pegue-o.
Catch him.,Peguem-no.
Come back.,Volte.
Come back.,Voltem.
Come here.,Venha aqui.
Come here.,Vem cá.
Come here.,Ande cá.
Come home.,Venha para casa.
Come over!,Vem!
Come over!,Venham!
Come over!,Venha.
Come over.,Venha.
Come soon.,Venha logo.
Cool down.,Acalme-se.
Cool down.,Acalme-se!
Cool down.,Acalmem-se.
Cool down.,Se acalme.
Did I win?,Eu ganhei?
Dogs bark.,Cães latem.
Dogs bark.,Cachorros latem.
Don't ask.,Não faça perguntas.
Don't ask.,Não pergunte!
Don't ask.,Não pergunte.
Don't cry.,Não chore.
Don't cry.,Não chorem.
Don't die.,Não morra!
Don't die.,Não morram!
Don't lie.,Não minta.
Don't run.,Não corra.
Don't run.,Não corram.
Don't run.,Não corras.
Excuse me.,Perdão.
Excuse me.,Com licença.
Excuse me.,Desculpa!
Excuse me.,Desculpe!
Excuse me?,O quê?
Excuse me?,O que você disse?
Excuse me?,Perdão?
Fantastic!,Fantástico!
Feel this.,Sinta isso.
Follow me.,Siga-me.
Follow me.,Sigam-me.
Follow me.,Me siga!
Follow me.,Me sigam!
Follow us.,Siga-nos.
Follow us.,Sigam-nos.
Forget it!,Esqueça!
Forget it!,Esquece!
Forget it.,Esqueça.
Forget it.,Esquece.
Forget it.,Esqueçam.
Forget it.,Esqueça!
Forget it.,Esquece!
Forget it.,Deixa.
Forget me.,Esqueça-me.
Get a job.,Arrume um emprego.
Go for it.,Vá em frente.
Go inside.,Entre.
Go inside.,Entra.
Go inside.,Vá para dentro.
Go inside.,Vai para dentro.
Goodnight.,Boa noite!
Hands off.,Tira as mãos.
Hands off.,Tire as mãos.
Hands off.,Tirem as mãos.
Have some.,Pega um pouco.
Have some.,Pegue um pouco.
Have some.,Peguem um pouco.
He is ill.,Ele está doente.
He is old.,Ele é velho.
He shaved.,Ele se barbeou.
He shaved.,Se barbeou.
He smiled.,Ele sorriu.
He's a DJ.,Ele é DJ.
He's rich.,Ele é rico.
Here I am.,Aqui estou.
Here's $5.,Aqui estão 5 dólares.
Hold this.,Segure isto.
How awful!,Que horror!
How awful!,Que terrível!
How awful!,Que ridículo!
How is it?,Como é isso?
How is it?,Como isso é?
How's Tom?,Como Tom está?
How's Tom?,Como está o Tom?
How's Tom?,Como vai o Tom?
I am full.,Estou cheio.
I am full.,Estou cheia.
I am lost.,Estou perdido.
I am okay.,Estou bem.
I am okay.,Eu vou bem.
I am okay.,Eu estou bem.
I am sick.,Estou doente.
I am sick.,Sou doente.
I am sure.,Tenho certeza.
I am tall.,Eu sou alto.
I am tall.,Sou alto.
I ate out.,Eu comi fora.
I blinked.,Eu pisquei.
I can fly.,Eu sei voar.
I can run.,Eu posso correr.
I can run.,Eu sei correr.
I can ski.,Eu sei esquiar.
I can win.,Eu posso ganhar.
I cheated.,Eu trapaceei.
I coughed.,Eu tossi.
I escaped.,Eu escapei.
I fainted.,Eu desmaiei.
I fainted.,Desmaiei.
I fear so.,Eu temo que sim.
I get you.,Eu te entendo.
I get you.,Te entendo.
I get you.,Eu entendo você.
I give in.,Eu me rendo.
I give up.,Eu desisto.
I got hit.,Fui atingido.
I got mad.,Fiquei furioso.
I got mad.,Eu fiquei furioso.
I grunted.,Eu resmunguei.
I had fun.,Eu me diverti.
I hope so.,Assim espero.
I hope so.,Espero que sim.
I inhaled.,Eu inalei.
I knew it.,Eu sabia.
I laughed.,Eu ri.
I laughed.,Ri.
I like it.,Eu gosto dele.
I lost it.,Eu o perdi.
I love it.,Eu amo isso.
I made it.,Consegui.
I may win.,Eu posso ganhar.
I mean it.,Estou falando sério.
I mean it.,Eu estou falando sério.
I miss it.,Saudades.
I miss it.,Saudades disso.
I need it.,Eu preciso disso.
I need it.,Preciso disso.
I need it.,Eu preciso.
I need it.,Preciso.
I noticed.,Eu notei.
I noticed.,Notei.
I promise.,Eu prometo.
I said no.,Eu disse que não.
I said no.,Disse que não.
I saw Tom.,Eu vi o Tom.
I saw Tom.,Vi o Tom.
I saw him.,Eu o vi.
I saw one.,Eu vi um.
I saw one.,Eu vi uma.
I see Tom.,Eu vejo o Tom.
I shouted.,Eu gritei.
I slipped.,Eu escorreguei.
I sneezed.,Eu espirrei.
I stopped.,Eu parei.
I studied.,Eu estudei.
I tripped.,Eu tropecei.
I tripped.,Tropecei.
I want it.,Quero.
I want it.,Eu quero isso.
I want it.,Quero isso.
I was sad.,Eu estava triste.
I was sad.,Eu fiquei triste.
I was wet.,Eu estava molhado.
I was wet.,Eu estava molhada.
I will go.,Eu vou.
I woke up.,Eu acordei.
I'd do it.,Eu faria isso.
I'll call.,Ligarei.
I'll cook.,Cozinharei.
I'll live.,Eu vou viver.
I'll lose.,Vou perder.
I'll sing.,Cantarei.
I'll stay.,Ficarei.
I'll stay.,Eu vou ficar.
I'll stop.,Eu vou parar.
I'll swim.,Eu vou nadar.
I'll wait.,Esperarei.
I'll walk.,Andarei.
I'll work.,Eu vou trabalhar.
I'm a man.,Eu sou homem.
I'm a man.,Sou um homem.
I'm a pro.,Sou um profissional.
I'm alert.,Estou alerta.
I'm alive.,Estou vivo.
I'm alive.,Estou viva.
I'm alone.,Estou sozinho.
I'm angry.,Estou com raiva.
I'm awake.,Estou acordado.
I'm blind.,Sou cega.
I'm blind.,Sou cego.
I'm blind.,Eu sou cega.
I'm blind.,Eu sou cego.
I'm bored.,Estou chateado.
I'm bored.,Eu estou entediado.
I'm bossy.,Eu sou mandona.
I'm bossy.,Eu sou mandão.
I'm brave.,Eu sou corajoso.
I'm broke.,Estou sem dinheiro.
I'm broke.,Eu estou duro.
I'm broke.,Estou duro.
I'm broke.,Estou falido.
I'm broke.,Estou quebrado.
I'm crazy.,Estou bravo.
I'm crazy.,Estou louco.
I'm dizzy.,Estou tonto.
I'm drunk.,Estou bêbado.
I'm drunk.,Estou embriagado.
I'm drunk.,Eu estou embriagado.
I'm drunk.,Estou bêbada.
I'm early.,Estou adiantado.
I'm going.,Eu vou.
I'm going.,Estou indo.
I'm going.,Já vou.
I'm happy.,Eu sou feliz.
I'm happy.,Eu estou feliz.
I'm happy.,Sou feliz.
I'm happy.,Estou feliz.
I'm loved.,Eu sou amado.
I'm loved.,Eu sou amada.
I'm loved.,Sou amado.
I'm loyal.,Eu sou leal.
I'm lucky.,Eu sou sortudo.
I'm lying.,Estou mentindo.
I'm naive.,Eu sou ingênua.
I'm naive.,Eu sou ingênuo.
I'm naked.,Estou pelado.
I'm naked.,Estou pelada.
I'm obese.,Estou obeso.
I'm older.,Sou mais velho.
I'm older.,Estou mais velho.
I'm picky.,Sou exigente.
I'm ready!,Estou pronto!
I'm ready!,Estou pronta!
I'm ready.,Estou pronto.
I'm ready.,Eu estou pronto.
I'm right.,Eu estou certo.
I'm small.,Eu sou pequena.
I'm small.,Eu sou pequeno.
I'm sober.,Estou sóbrio.
I'm sorry.,Desculpa!
I'm sorry.,Desculpe!
I'm sorry.,Lamento.
I'm sorry.,Me desculpe.
I'm sorry.,Sinto muito.
I'm stuck.,Estou preso.
I'm stuck.,Eu estou presa.
I'm stuck.,Eu estou preso.
I'm stuck.,Estou presa.
I'm timid.,Eu sou tímido.
I'm tired.,Estou cansado.
I'm tired.,Eu estou cansado!
I'm tired.,Estou cansado!
I'm upset.,Estou chateado.
I'm upset.,Estou chateada.
I'm upset.,Eu estou chateado.
I'm weird.,Sou estranho.
I'm weird.,Estou estranho.
I'm wrong.,Estou errado.
I'm wrong.,Estou errada.
I'm young.,Eu sou jovem.
I'm young.,Sou jovem.
I'm yours.,Sou seu.
I'm yours.,Eu sou seu.
I'm yours.,Eu sou sua.
I'm yours.,Sou sua.
Is Tom OK?,O Tom está bem?
Is Tom in?,O Tom está dentro?
Is he Tom?,Ele é o Tom?
Is he Tom?,É ele o Tom?
Is it bad?,É grave?
Is it big?,É grande?
Is it far?,É longe?
Is it hot?,Está calor?
Is it you?,É você?
Is it you?,És tu?
It burned.,Queimou.
It failed.,Falhou.
It rained.,Estava chovendo.
It snowed.,Nevou.
It stinks.,Isso fede.
It was OK.,Foi bonzinho.
It worked.,Funcionou!
It's 3:30.,São 3h30.
It's 7:45.,São 7h45.
It's 8:30.,São 8h30.
It's 9:15.,São 9h15.
It's a TV.,É uma TV.
It's a TV.,Isso é uma TV.
It's a TV.,Isto é uma TV.
It's cool.,É legal.
It's done!,Pronto
It's done!,Está pronto!
It's done.,Está pronto.
It's done.,Está pronta.
It's easy.,Isso é fácil.
It's easy.,É fácil.
It's fair.,É justo.
It's fine.,Está bem.
It's food.,É comida.
It's free.,É de graça.
It's free.,É gratuito.
It's here.,Está aqui.
It's here.,É aqui.
It's hers.,É dela.
It's hers.,Isso é dela.
It's huge.,É enorme.
It's late.,Está tarde.
It's late.,É tarde.
It's mine.,É meu.
It's mine.,É minha.
It's okay.,Está bem.
It's open.,Está aberto.
It's ours.,É nosso.
It's over.,Acabou.
It's time.,Está na hora.
It's true!,É verdade!
It's true.,É verdade.
It's work.,É trabalho.
Keep away.,Mantenha-se afastado.
Keep back.,Afaste-se.
Keep back.,Fique afastado.
Keep calm.,Acalme-se.
Keep cool.,Mantenha a calma.
Keep cool.,Te acalma.
Keep down.,Fique abaixado.
Keep down.,Fique abaixada.
Keep that.,Fique com isso.
Keep them.,Fique com eles.
Keep them.,Fique com elas.
Keep this.,Fique com isto.
Keep warm.,Mantenha aquecido.
Kill them.,Mate-os.
Kill them.,Mate-as.
Leave Tom.,Deixe o Tom.
Leave now!,Saia agora!
Leave now.,Vá embora agora.
Let me go!,Deixe-me ir embora!
Let me in.,Deixe-me entrar.
Let us in.,Deixe-nos entrar.
Let's see.,Vejamos.
Listen up.,Escute.
Listen up.,Escutem.
Look back!,Olhe para trás!
Look back!,Olhem para trás!
Look back!,Olha pra trás!
Look back.,Olhe para trás!
Look back.,Olhem para trás!
